Position,Frame,mean_curved,volume_curved,mean_background
10,1,131.12338819138105,23576.0,149.42470648289944
10,10,125.63857443984698,25618.0,137.18468085106383
10,100,137.81226403221746,127136.0,141.92566107624242
10,101,136.68640990279494,209557.0,140.4809977518467
10,102,139.4460668348243,191487.0,145.38090778097984
10,103,135.93795628896564,43147.0,139.30240793201133
10,104,143.53730758266818,28064.0,143.84479166666668
10,105,134.51406400096062,66624.0,138.7705876213339
10,106,136.53060195198196,220084.0,141.01317261091089
10,107,137.09339372886285,196041.0,138.13457716935307
10,108,137.57930497733085,161894.0,141.49395476743635
10,109,139.98904293139407,92543.0,147.52484322238303
10,11,125.87457244878782,26605.0,138.56034669555797
10,110,145.81519200638544,135308.0,143.36241334340036
10,111,143.95948469006723,91052.0,144.36387614678898
10,112,143.866694768959,99636.0,146.44201781431997
10,113,140.44770180714875,150292.0,142.35658478654915
10,114,138.37579116395605,160049.0,142.39889579020013
10,115,134.50194065621753,188596.0,136.92408036575648
10,116,131.29145314048287,235139.0,134.5159551216669
10,117,131.6966369308684,241684.0,134.53004878874194
10,118,131.58342701008428,243746.0,133.08386617949304
10,119,131.15662063899504,242318.0,129.34674904723408
10,12,126.95070735501074,27002.0,140.82296752281894
10,120,133.69032399299473,251240.0,137.84753939255538
10,121,131.91370932056802,248590.0,131.66137237503696
10,122,131.0983566665489,254787.0,130.87216375955023
10,123,133.3896212495829,248739.0,133.36610003967405
10,124,131.952491225531,248733.0,132.4922974887703
10,125,132.24667460135925,257939.0,130.17628650904032
10,126,131.9110750571238,265651.0,129.4793973804036
10,127,133.23986899630071,261672.0,132.65073572007879
10,128,135.21613388094892,198923.0,134.06474792791423
10,129,133.28278935640319,228870.0,132.81940448542412
10,13,134.99901671583086,26442.0,141.15919282511211
10,130,132.5235634575665,259512.0,130.58363335890928
10,131,132.64153094949677,267468.0,133.32481874894623
10,132,132.67063959612668,256318.0,133.68677807446522
10,133,132.9646574424656,256716.0,132.82141224514675
10,134,132.83531934422078,252768.0,132.46565237436607
10,135,133.1368775762414,260554.0,132.5941430220548
10,136,136.10821136257258,237147.0,133.8339368690915
10,137,139.65577136362387,218198.0,141.34850952615432
10,138,141.69878708881416,201004.0,142.32189131332856
10,139,142.38048820752948,133263.0,142.36881271845755
10,14,140.47706422018348,21691.0,150.98272671190622
10,140,141.56668193680937,144072.0,140.8154306386531
10,141,141.35266894469694,120572.0,140.6167098299741
10,142,141.55472683345025,128310.0,138.9658536585366
10,143,140.8462761928806,118830.0,138.81089030776957
10,144,139.9785282957281,98036.0,139.23392145702903
10,145,139.78791885345174,99080.0,137.2132343363293
10,146,142.86095062387727,102985.0,139.42548212700717
10,147,141.1807411027841,110484.0,139.75097365406643
10,148,140.67331720887546,104603.0,139.60574948665297
10,149,140.79578513576922,98034.0,138.81733243060256
10,15,138.3810963095638,26799.0,149.91916494720232
10,150,141.70384493515292,91523.0,138.66882444329363
10,151,141.74847731920227,90958.0,137.88161172161173
10,152,140.7978719656132,113532.0,138.82275899929417
10,153,142.48275055321056,102583.0,138.741699958672
10,154,142.18152024068598,115337.0,140.27693035355327
10,155,140.12509691625402,96733.0,143.18370339338082
10,156,141.84140339609007,124555.0,141.2681315418306
10,157,142.7429291031513,98467.0,140.2777545619167
10,158,142.43529797942958,82254.0,143.02313927781873
10,159,144.4419358323431,92570.0,141.51862501633772
10,16,138.0599719696229,30681.0,150.24576552640318
10,160,142.89751844884967,82932.0,140.9037271004422
10,161,139.80935897299764,94177.0,137.26304801670148
10,162,141.39881810057088,164481.0,141.2326927276698
10,163,140.13529739555003,150742.0,137.86299421636485
10,164,141.42268602540835,154280.0,141.1596040687862
10,165,140.38839733770007,151448.0,138.49638594721802
10,166,142.79890791759743,100725.0,137.2691605839416
10,167,142.89728788021472,106190.0,140.23342286385764
10,168,141.23588735199547,118493.0,138.6568489602605
10,169,143.20779976318724,146107.0,138.45485282418457
10,17,140.13669509331356,32364.0,154.09195036589247
10,170,145.36171544298517,115049.0,140.66096649127667
10,171,142.5403039805592,137443.0,138.3177927927928
10,172,145.96129862267293,132140.0,139.9541196825965
10,173,144.0452739132074,132615.0,139.72660947105317
10,174,144.24397260414213,97679.0,139.60161116186364
10,175,148.41249689749318,80580.0,145.19358963430227
10,176,153.12416139240506,63200.0,139.19265315522802
10,177,151.63896380672423,136075.0,136.59359584595413
10,178,141.60864069006544,67240.0,136.91218345831976
10,179,150.19335848883222,174117.0,140.27268132423552
10,18,137.11084359952474,31982.0,150.33798338291106
10,180,152.2534209085933,58464.0,131.8365367965368
10,181,150.69739549253592,148243.0,139.66732499451393
10,182,136.7253801210756,56824.0,133.06431095406361
10,183,153.938490018703,104796.0,140.90788601722994
10,184,147.4495689834673,96052.0,140.65333515956718
10,185,143.0479695346688,89807.0,139.15083798882682
10,186,150.62837671217522,44607.0,139.90641351472567
10,187,144.81280642206778,111366.0,137.2603826710181
10,188,145.03604849726776,117120.0,138.1332612284397
10,189,152.2277472234088,74912.0,137.46013071895425
10,19,138.57977455716585,31050.0,152.67721858568515
10,190,148.05653231008418,60461.0,140.34112335679194
10,191,142.74532689440755,78481.0,137.28368220191973
10,192,155.4888285804543,69642.0,135.68345674201092
10,193,140.6585180028111,76127.0,135.44072974860336
10,194,145.6928824801125,47643.0,130.1797590361446
10,195,144.67645482160938,33578.0,133.92040242639445
10,196,133.6119206981276,23606.0,131.28194091175894
10,197,142.96729247348037,23756.0,139.28365384615384
