Position,Frame,mean_curved,volume_curved,mean_background,mask_mean,mask_area,mask_eccentricity,mask_centroid_x,mask_centroid_y,mask_total
10,100,156.1495295006525,14559.0,116.60617495711836,255.64751469802243,3742.0,0.8310921885924113,699.5189738107964,654.5344735435596,25989.0
11,100,134.45193990665112,13712.0,130.3939393939394,186.30534581697373,3311.0,0.945195314847299,1126.3080640289943,1034.5077016007249,21148.0
12,100,143.37327364510907,10499.0,127.17640186915888,208.65191605839416,2192.0,0.8547094933085613,671.4393248175182,529.0063868613139,17489.0
13,100,151.3322386131151,18574.0,117.51251758087201,264.16750065841455,3797.0,0.8503982788568226,558.3510666315512,473.6642085857256,24766.0
14,100,145.83455289594443,16126.0,126.87235941684023,206.4464176362523,3266.0,0.859610380168668,722.8766074709124,181.4993876301286,31436.0
15,100,151.78187233285917,22496.0,132.75298726738492,219.86929223744292,3504.0,0.864728512020794,592.7043378995434,618.2151826484019,14953.0
16,100,134.75296108291033,591.0,132.70502645502646,178.65581395348838,215.0,0.5588573603247636,365.04651162790697,796.939534883721,609.0
17,100,128.30056710775048,9522.0,123.34283420313128,200.88862102217936,2074.0,0.8598686349369875,121.17839922854388,148.76133076181293,2947.0
18,100,152.61245149316687,17781.0,120.14202898550725,224.41517857142858,3584.0,0.8747286400532044,513.3666294642857,392.7173549107143,12997.0
19,100,154.18614796223258,16734.0,117.13610537190083,250.24460940261577,2829.0,0.8600271003107938,704.7942735949099,437.4312477907388,22865.0
1,100,138.45667668527264,23290.0,123.05110554860242,226.2194729430698,4971.0,0.8230697308356486,641.8062764031382,469.9320056326695,32006.0
20,100,129.4274678111588,1165.0,123.79202586206897,176.6027397260274,292.0,0.903727855940231,359.53767123287673,515.7191780821918,292.0
21,100,151.82169641914018,18934.0,124.61198738170347,261.3870868087736,3237.0,0.8212737983692548,317.7281433426012,671.2666048810627,3237.0
22,100,117.74074074074075,54.0,113.91176470588235,294.0,18.0,0.7071067811865476,663.5,1108.5,18.0
23,100,127.63211885390874,19789.0,122.63174662668666,199.2369384359401,3005.0,0.7798730115278792,560.2678868552413,546.3494176372712,3033.0
24,100,139.73164293713006,25004.0,125.59039836567926,232.5720329547985,4491.0,0.8259334890736378,525.3424627031842,683.8013805388555,4491.0
25,100,,,,,,,,,
26,100,,,,,,,,,
27,100,126.07227241139681,1439.0,120.38105263157895,180.63092269326683,401.0,0.8887651395969531,436.8528678304239,727.2643391521196,2480.0
28,100,114.02857142857142,105.0,114.01937984496124,316.02702702702703,37.0,0.7817371461766297,554.0,983.0,37.0
29,100,124.35837595907928,12512.0,121.37592867756315,192.17524115755626,1866.0,0.8506604348867981,174.40728831725616,637.6752411575562,1866.0
2,100,147.77096209912537,17150.0,119.6355543566226,242.68887408394403,3002.0,0.7718848530481619,726.6242504996669,726.8564290473018,16559.0
30,100,120.23668981481481,1728.0,117.11486486486487,195.02256944444446,576.0,0.9336403711053087,627.1805555555555,15.864583333333334,3947.0
31,100,149.16866212261795,112088.0,117.04939388456667,247.9303216328244,19059.0,0.8499263338719696,471.28521958130017,609.3583608793746,198435.0
32,100,137.9255781269963,15654.0,126.25734463276837,208.18629476584022,2904.0,0.7527098821453968,562.986914600551,293.202479338843,2904.0
33,100,125.54057267884323,21024.0,116.0015593673424,237.28930307941653,3702.0,0.8727565216700508,507.252566180443,453.5926526202053,3702.0
34,100,,,,,,,,,
35,100,132.07296351824087,2001.0,127.44587155963303,189.08166969147007,551.0,0.5243571280018618,96.27041742286751,621.7967332123412,2212.0
36,100,118.73846153846154,65.0,119.07666666666667,151.53846153846155,13.0,0.0,297.0,291.0,13.0
