Position,Quality,Hatch,Escape,Condition,old_condition
1,1,8,194,LIN-41,
2,0,1,240,LIN-41,
3,1,19,235,LIN-41,
4,1,24,240,LIN-41,
5,1,8,240,LIN-41,
6,1,2,240,LIN-41,
7,1,13,240,LIN-41,
8,1,18,240,LIN-41,
9,1,18,240,LIN-41,
10,1,11,240,LIN-41,
11,0,,,LIN-41,
12,0,,,LIN-41,
13,1,5,240,LIN-41,
14,1,5,240,LIN-41,
15,1,15,240,LIN-41,
16,1,11,240,LIN-41,
17,1,9,240,LIN-41,
18,1,17,240,LIN-41,
19,1,12,240,LIN-41,
20,1,12,240,LIN-41,
21,1,14,240,LIN-41,
22,1,3,240,LIN-41,
23,1,15,240,LIN-41,
24,1,9,240,LIN-41,
25,0,,,LIN-41,
26,1,16,240,LIN-41,
27,1,9,240,LIN-41,
28,1,7,240,LIN-41,
29,1,8,228,LIN-41,
30,1,4,240,LIN-41,
31,1,16,240,LIN-41,
32,1,5,240,LIN-41,
33,1,3,240,LIN-41,
34,1,17,240,LIN-41,
35,0,56,235,HW2962,
36,0,56,240,HW2962,
37,0,66,240,HW2962,
38,0,,,HW2962,
39,0,28,204,HW2962,
40,0,37,232,HW2962,
41,0,,,HW2962,
42,0,76,220,HW2962,
43,0,,,HW2962,
44,0,,,HW2962,
45,0,58,232,HW2962,
46,0,41,219,HW2962,
47,0,,,HW2962,
48,0,43,240,HW2962,
49,0,26,220,HW2962,
50,0,22,203,HW2962,
51,0,,,HW2962,
52,0,24,229,HW2962,
53,0,43,240,HW2962,
54,0,37,221,HW2962,
55,0,38,236,HW2962,
56,0,38,234,HW2962,
57,0,24,217,HW2962,
58,0,10,187,HW2962,
59,0,22,223,HW2962,
60,0,16,207,HW2962,
61,0,9,194,HW2962,
62,0,20,196,HW2962,
63,0,24,203,HW2962,
64,0,26,211,HW2962,
65,1,16,191,control,control_lin41
66,1,10,192,control,control_lin41
67,1,2,194,control,control_lin41
68,1,14,204,control,control_lin41
69,1,3,188,control,control_lin41
70,1,14,197,control,control_lin41
71,1,9,183,control,control_lin41
72,1,10,240,control,control_lin41
73,1,2,192,control,control_lin41
74,1,9,192,control,control_lin41
75,1,8,195,control,control_lin41
76,1,6,194,control,control_lin41
77,1,9,200,control,control_lin41
78,0,45,,control,control_lin41
79,0,,,control,control_lin41
80,1,6,207,control,control_lin41
81,1,17,207,control,control_lin41
82,0,,,control,control_lin41
83,1,9,196,control,control_lin41
84,1,7,192,control,control_lin41
85,1,3,208,control,control_lin41
86,1,8,220,control,control_lin41
87,1,8,217,control,control_lin41
88,1,10,202,control,control_lin41
89,1,9,196,control,control_lin41
90,1,18,194,control,control_lin41
91,1,8,201,control,control_lin41
92,0,,,control,control_lin41
93,1,3,201,control,control_lin41
94,1,17,205,control,control_lin41
95,1,8,204,control,control_lin41
96,1,12,191,control,control_lin41
97,1,17,195,control,control_lin41
